locus_tag,FM18_CH3OH_4.1/day,FM18_CH3OH_4.1/day_R1,FM20_no-lim_5.2/day,FM20_no-lim_5.2/day_R1,FM21_no-lim_5.4/day,FM21_no-lim_5.4/day_R1,FM21_no-lim_5.4/day_R2,FM12_CH4-lim_3.0/day,FM12_CH4-lim_3.0/day_R1,FM14_CH4-lim_3.0/day,FM14_CH4-lim_3.0/day_R1,FM19_O2-lim_3.5.day,FM19_O2-lim_3.5.day_R1,FM19_O2-lim_3.5.day_R2,FM22_O2-lim_4.2/day,FM22_O2-lim_4.2/day_R1,FM22_O2-lim_4.2/day_R2,FM34_-Cu_2.7/day_t0,FM40_-Cu_2.9/day_t0m,FM40_+Cu_2.9/day_t10m,FM40_+Cu_2.9/day_t20m,FM40_+Cu_2.9/day_t40m,FM40_+Cu_2.9/day_t60m,FM40_+Cu_2.9/day_t90m,FM40_+Cu_2.9/day_t180m,FM34_+Cu_2.7/day_t180m,FM34_+Cu_2.7/day_t240m,FM34_+Cu_2.7/day_t300m,FM34_+Cu_2.7/day_t360m,FM34_+Cu_2.7/day_t420m,FM34_+Cu_2.7/day_t480m,FM69_O2-lim+_0.7/day_t2,FM69_?-lim_0.7/day_t3,FM69_?-lim_0.7/day_t3_R1,FM69_?-lim_0.7/day_t4,FM69_?-lim_0.7/day_t4_R2,FM80_O2-lim_0.7/day_t2,FM80_O2-lim_0.7/day_t4,FM81_O2-lim+_0.7/day_t1,FM81_O2-lim_0.7/day_t2
MBURv2_10009,-0.163555525798321,-0.1696934237127703,0.1308044644944637,0.14847155690893654,0.08496364827003955,0.047653919855870086,-0.002430626897642618,-1.173556867032604,-1.3399199675693674,-1.0271122703472528,-1.033623270202531,-0.3941988345903038,-0.48638353233383835,-0.39682970126397077,-0.5945359775911587,-0.30095932357628197,-0.3930408837075925,-1.7935915323160265,-1.224197906670795,-1.3586663496005946,-1.5704708023582352,-1.2052572213599522,-1.3206639108042997,-1.0601603781736246,-1.2320902920480648,-2.1718660175017717,-1.805400085400581,-1.5806066029450823,-2.050268317238037,-1.426534126118121,-1.7152945142112341,-2.7974523254320114,-1.6428251591560121,-1.655766528670819,-1.2909120072519475,-1.4646921454793569,-1.2232172886891832,-1.0192417856006024,-1.6696522896791919,-1.6185579290394578
MBURv2_10010,-0.17500955487397274,-0.30504676084018234,-0.11813133905950979,0.022571346410566573,-0.06245172279587097,-0.2017043937052012,-0.2510480991714594,-1.3907395711642576,-1.4294534612450174,-0.9608138812151861,-1.1243904476297941,-0.6354396789813261,-0.3512964071849094,-0.347287239127259,-0.6960617004199081,-0.4028525652048507,-0.44746703045876046,-1.2191810943761299,-0.67632925618339,-1.2201886352508917,-0.7470226585068169,-1.1476377814996321,-0.7077382372593508,-0.9269582331538553,-1.1832124475793249,-1.236401153384691,-1.5900509410682537,-1.6069259815846584,-0.5930414186684789,-2.125211758675941,-1.2327318320989074,-1.785636575184816,-2.266597982699941,-2.8138757798659357,-1.9321562741093166,-2.1309483003447998,-1.1442873425834512,-1.1124269194160128,-1.9119745447773946,-2.2179145588362674
MBURv2_10011,-0.44750428995683267,-0.6062732144663583,0.4049034125184443,0.42853796037330394,0.3550620670016049,0.08676789086411629,0.3117430205510763,-1.0688643522702632,-1.0316746617756472,-0.7212024576685061,-1.0101154084566155,-0.5760611319023945,-0.41138280950394357,-0.3588770079376724,-0.3567182287902173,-0.32322935087149185,-0.16602616044108887,-1.1411785823748564,-0.8295250628939059,-0.8978054007475125,-0.7264257538997034,-0.8455119600827952,-0.9762857878255482,-0.670343702249077,-1.0820287131443984,-1.0969980967192743,-1.2928499320832683,-1.1383390140290803,-1.2805736530301832,-1.594103706562304,-1.3440717753671871,-2.795096904433882,-1.2674962984455833,-1.12289639097391,-1.3470680538080284,-2.462336724481228,-0.988688425562021,-0.31249318133387627,-1.4427812754516451,-1.2201793866811295
MBURv2_10013,-0.3328431390910902,-0.45776020986286037,-0.5793783537346244,-0.696295177475799,-0.7540092974496524,-0.6230634254894052,-0.7389153470660901,-1.6540702564991312,-1.5389209537954467,-1.4947567155849906,-1.6438387433323691,-1.3170379627476017,-1.3606691544008092,-1.2745811423252604,-1.1754642768365628,-1.0467518971287952,-1.1318725649310863,-1.8054988747092966,-1.4996227809974423,-1.4356687202157499,-1.6357405080680816,-1.4992603050002486,-1.7161690339514828,-1.4339696649389038,-1.5192465241021513,-1.9176216199323899,-1.7218761525756734,-1.8136001691741757,-2.252004500833412,-1.9421424671505239,-1.7797744636986343,-2.2966662282137458,-1.27656639261666,-1.327965232643924,-1.2788141569824982,-1.416096545957401,-1.486957141540119,-0.9256078251308537,-1.7795168463507087,-1.5515398775570994
MBURv2_10014,0.4829198679511588,0.6224033315847661,0.9968857619346192,0.6361815511061959,0.4018961563932093,0.6915234062978062,0.36786173347303386,-0.5457018203589072,-0.4729473055650746,-0.15124136117897535,-0.1462807017153933,-0.628097703640158,-0.7687048109264998,-0.6500780131056341,-0.45342848664583535,-0.10715360320581446,-0.2638027421097311,-0.21382388420662224,0.049220293917062286,-0.05263453827132558,0.036583660778178206,-0.14809789792543882,-0.20906269130980082,-0.22031078161402906,-0.3197828524552002,-0.1901075011107558,-0.3530117437674041,-0.45014635619926846,-0.9825438258401853,-0.3111807717625146,-0.2071967399917698,-0.760101483077678,0.5061710390272296,1.2116593122412018,0.471890441251551,0.5112581522108322,-0.5648870465001528,-0.3875513054425861,-0.7655146704106501,-0.7000989685178252
MBURv2_10015,-0.14611418196704307,-0.21527860671747945,0.16530317677379092,0.10440937205352707,0.07151821282008175,-0.011287683955632843,0.060296656858074726,-1.1331242608346805,-1.0529536594600444,-0.8157738109492669,-1.0468887844587167,-1.434431128104304,-1.1444406600980432,-0.970764011454035,-0.7818676559245645,-0.8645832999317369,-0.6620678157040452,-0.9380867169973452,-0.8137942160263751,-1.2230838700995266,-1.1642986299816602,-1.2629652252323451,-1.2055353178144763,-1.2695248701906774,-1.6887144320913472,-1.545982927921456,-1.0855783582074663,-0.864697690337576,-1.0709389417858999,-0.8087843081848751,-1.2855381912735613,-1.3010088037209,0.09938529226535664,-0.13423202599687656,-0.11410476892020771,-0.1393605401609994,-1.389738779700501,-0.9831913587642331,-1.5781056277500651,-1.1574649405076638
MBURv2_10016,-0.4438855459763307,-0.3947579148730407,0.07644674979114185,0.24458909728819833,0.023855640798363886,-0.1932373609355027,-0.05483640620887176,-1.5201227138451587,-1.501568694658654,-1.4003921573174338,-1.513300766145437,-1.7790779889033628,-1.210170435482989,-1.3989470180618904,-1.1822945229614161,-1.3753071703609745,-1.0705121991195403,-1.8686527275637652,-1.2721688786476761,-1.6471513457057316,-1.5177088705170245,-1.7023116601430166,-1.7029847072887163,-1.6112756072451155,-1.5455163879857121,-1.6259265625261028,-1.5852974110976188,-1.4787900361087418,-2.003325387976689,-1.602609923842687,-1.9325224186021015,-2.1959205444930254,-0.6740222978689099,-0.97623223573056,-0.8264250964138613,-0.7756975232900318,-1.9109094375648539,-1.4944218442927983,-2.0050683382049046,-1.980500272075358
MBURv2_10017,-0.020934650555108902,0.06015338688369365,-0.22194162239579818,0.23914307168224447,-0.12225298438268073,-0.5211352223007939,-0.2900539456812208,-0.9674456452657214,-0.9634666578490174,-0.7565887706256165,-0.7107832180420601,-1.2367428645453842,-0.8658106030282768,-0.9115789711303846,-0.9162386805333886,-1.0816643667522516,-0.7070157728546933,-0.3922898208328309,-0.16952473070328633,-0.5933843336601576,-0.6286932641260581,-0.6657582159567372,-0.5457163312391904,-0.7157917141023997,-0.7570263823075054,-0.19610624173219904,-0.7750198227350165,-0.40681738445714277,-0.703414389777218,-0.7418105599009177,-0.47448222416073893,-0.48097204701471075,-0.5458000987297194,0.42805299295620713,-0.48275107194369227,0.1489483226763637,-1.2736988587737486,-1.1227172696698284,-1.6938925139096197,-1.3719144623452637
MBURv2_10018,-0.3140007630729009,-0.3262941821313392,0.3858130464991918,0.5428474624119506,0.32693010013678503,0.030441972006499896,0.3907990931400711,-1.8620262372746907,-1.9320478313017633,-1.8456921145266811,-2.056576581344708,-1.4452884565274875,-1.293279375913757,-1.335406993643618,-1.353811387246413,-1.3933456618824263,-1.3366013173882703,-2.033195901501845,-2.2478648766574647,-2.168457866827171,-2.022368617185311,-1.8400906087444335,-2.075510761595921,-1.688555791484565,-1.8592851551679033,-2.017029792015859,-1.6381874621125236,-2.2352484714097445,-2.1302160204353697,-1.6314923524970473,-2.113860835083159,-3.1301660990093105,-2.0965543336946775,-2.099511614636862,-1.947083775161028,-1.4516310822149263,-2.5738529702637454,-2.396349678536355,-2.990844193361272,-2.6313914363782533
MBURv2_10019,-0.6937467113702098,-0.9844739455648313,0.7618181331550078,0.7081395819504239,0.44360517415108003,0.3410382344511973,0.347589338446773,-1.9276716396351992,-1.9018332182547564,-2.289335473285851,-2.6750718137789953,-1.4321473568394225,-1.3000732262992365,-1.2030219299589566,-1.3854858862424502,-1.6652744917083302,-1.4173160367194715,-3.6330316787045316,-2.662758616777116,-2.788116641262202,-2.622204394387998,-3.0025210736398225,-2.7377661929744477,-2.7020750603201202,-3.166428677577864,-2.888411474907857,-2.6444987250906307,-2.7196070311924956,-2.898367546218712,-3.0916033660331212,-3.0291984380137755,-3.8775590646258555,-1.9028409883647912,-1.7358732678646627,-1.9536894356589585,-2.281764478839407,-2.902092328129214,-2.6108417990028876,-3.2203888541151975,-3.1515000211102064
